,event_name,venue,neighborhood,start_date,start_time,end_date,end_time,all_day_event,category,event_cost,purchase_req,free,show_map_link,show_map,event_description,stage_time,event_website
31,Improv Mic,The Hollywood Comedy,Hollywood/East Hollywood,2020-03-08,7:00 PM,2020-03-08,8:00 PM,False,Improvised stand-up mic,$5,No,True,True,True,"

includes snacks and drinks
Sign-up in advance at https://slotted.co/thehollywoodcomedy
Starts 7PM
Ends 8PM
Sets must be improvised, riffed, unprepared
5 min.
Hosted by Jiaoying Summers",5 min.,https://slotted.co/thehollywoodcomedy
32,Standup Comedy Clinic,Standup Comedy Clinic,Burbank/NoHo/Valley,2020-03-08,7:00 PM,2020-03-08,8:00 PM,False,Open Mic,$5,No,True,True,True,"

Sign-up 6:30PM
Starts 7PM
Ends 8PM
5 min.
9 spots only
First come, first served
Can stay after for booked show for $5
Hosted by George Valko",5 min.,
35,Atomic Wombat Comics,Atomic Wombat Comics,Orange County,2020-03-08,7:00 PM,2020-03-08,8:00 PM,False,Open Mic,$5,No,True,True,True,"

Sign-up in advance at https://slotted.co/comedygrabbag
Starts 7PM
5-7 min.
Must be on time and stay for the hour that you're signed up for",5 min.,https://slotted.co/comedygrabbag
37,LTE VIsions,LTE Visions,DTLA,2020-03-08,7:00 PM,2020-03-08,11:00 PM,False,Open Mic,$5,No,True,True,True,"

in basement in unit #110
Dial the Callbox, > LTE Visions<  to be buzzed in.
Sign-up 6:30PM
Starts 7PM
Ends 11PM
5 min. 
First come, first served
Hosted by Dion Lack",5 min.,
40,(8PM-10PM Hourly) 10 Min Spots Bert's Back Room Lounge,Bert's Back Room Lounge,WeHo/Fairfax/Beverly Hills,2020-03-08,8:00 PM,2020-03-08,10:55 PM,False,Open Mic,$8,No,True,True,True,"

Upstairs, entrance through door in between Von Dutch and ikon 
Across the hall from original Bert's Back Room
Sign-up in advance at https://slotted.co/bertsbackroom
Mic runs every hour on the hour from 8PM-10PM (last 10 min. mic ends 10:55PM)
10 min.
Comic must be on time and stay for whole mic",10 min.,https://slotted.co/bertsbackroom
44,(8PM-12AM Hourly) The Hollywood Comedy,The Hollywood Comedy,Hollywood/East Hollywood,2020-03-08,8:00 PM,2020-03-08,11:59 PM,False,Open Mic,$5,No,True,True,True,"

includes snacks & drinks
Sign-up in advance at https://slotted.co/thehollywoodcomedy
Mic runs every hour on the hour from 8PM-12AM 
5 min.
Hosted by Jiaoying Summers",5 min.,https://slotted.co/thehollywoodcomedy
45,The Green Room,The Green Room,Orange County,2020-03-08,8:00 PM,2020-03-08,10:00 PM,False,Open Mic,$5,No,True,True,True,"

in Suite 204
includes drink
Sign-up in advance at https://slotted.co/gr
Starts 8PM
5 min.
First come, first served
Hosted by Elyse Joseph",5 min.,https://slotted.co/gr
49,Liquid Zoo,Liquid Zoo,Burbank/NoHo/Valley,2020-03-08,9:00 PM,2020-03-08,11:00 PM,False,Open Mic,$0,No,True,True,True,"

Starts 9PM
First come, first served
10 mins.
Hosted by Ryan Talmo",10 min.,
51,Hollywood Improv Comedy Lab,Hollywood Improv Comedy Lab,WeHo/Beverly Hills/Fairfax,2020-03-08,9:00 PM,2020-03-08,11:59 PM,False,Open Mic,$0,No,True,True,True,"

Sign-up 8:30PM
Sign-up cut off at 75 names in bucket
Starts 9PM
Ends 12AM
3 min. 
Lottery
Hosted by Ken Garr and Jeffrey Baldinger",3 min.,
50,Flappers Bar,Flappers Comedy Club,Burbank/NoHo/Valley,2020-03-08,9:30 PM,2020-03-08,11:30 PM,False,Open Mic,,1 item,True,True,True,"

Sign-up 9:30PM
Lottery
3 min.",3 min.,
56,Improv Mic,The Hollywood Comedy,Hollywood/East Hollywood,2020-03-09,11:00 AM,2020-03-09,12:00 PM,False,Improvised stand-up mic,$5,No,True,True,True,"

includes snacks & drinks
Sign-up in advance at https://slotted.co/thehollywoodcomedy
Starts 11AM
Ends 12PM
Sets must be improvised, riffed, unprepared
5 min.
Hosted by Jiaoying Summers",5 min.,https://slotted.co/thehollywoodcomedy
118,The Cinema Bar,The Cinema Bar,Westside/Santa Monica,2020-03-09,11:00 PM,2020-03-09,1:00 AM,False,Open Mic,,1 item,True,True,True,"

Sign-up 11PM
Starts 11:30PM
Ends 1AM
Lottery
7 min.
Hosted by Serafina Costanza & John Davenport",7 min.,
119,All Woman Jam,Westside Comedy Theater,Westside/Santa Monica,2020-03-09,11:00 PM,2020-03-09,11:59 PM,False,Improv Jam,$0,No,True,True,True,"

in alley between 3rd St. Promenade & 4th St.
For female performers doing improv only
Starts 11PM
Any female performer can play
Lottery",3 min.,
122,Pack Theater,Pack Theater,Hollywood/East Hollywood,2020-03-09,11:00 PM,2020-03-09,1:00 AM,False,Open Mic,$0,No,True,True,True,"

Sign-up 10:30PM
Starts 11PM
3 min.
First come, first served
Hosted by Erin Nicole Bounds and Kristen Gull",3 min.,
58,(1PM-6PM Hourly) The Hollywood Comedy,The Hollywood Comedy,Hollywood/East Hollywood,2020-03-09,1:00 PM,2020-03-09,7:00 PM,False,Open Mic,$5,No,True,True,True,"

includes snacks & drinks
Sign-up in advance at https://slotted.co/thehollywoodcomedy
Mic runs every hour on the hour from 1PM-6PM (last mic ends at 7PM)
5 min.
Hosted by Jiaoying Summers",5 min.,https://slotted.co/thehollywoodcomedy
61,(3PM-4PM Hourly) 10 Mins. The Comedy Office (Unit #3 Upstairs),The Comedy Office (Unit #3 Upstairs),WeHo/Fairfax/Beverly Hills,2020-03-09,3:00 PM,2020-03-09,4:00 PM,False,Open Mic,$5,No,True,True,True,"

Upstairs, down the hall to the left (the brick door).
Sign-up in advance at https://slotted.co/m4l
Starts 3PM
Ends 4:45PM
10 min.
Must be on time",10 min.,https://slotted.co/m4l
63,(3PM-10PM Hourly) Bert's Back Room,Bert's Back Room,WeHo/Fairfax/Beverly Hills,2020-03-09,3:00 PM,2020-03-09,11:00 PM,False,Open Mic,$5,No,True,True,True,"

Upstairs, entrance through door in between Von Dutch and ikon 
Sign-up in advance at https://slotted.co/bertsbackroom
Mic runs every hour on the hour from 3PM-10PM (venue closes 11PM)
5 min.
Wait list for walk-ins and drop outs will be first come, first served
Hosted by Rachel Cuthbert",5 min.,https://slotted.co/bertsbackroom
64,(3PM-12AM Hourly) 10 Mins. The Hollywood Comedy,The Hollywood Comedy,Hollywood/East Hollywood,2020-03-09,3:00 PM,2020-03-09,11:59 PM,False,Open Mic,$8,No,True,True,True,"

in ""The Fancy Room"" (up front)
$8 (includes snacks & drinks)
Sign-up in advance at https://slotted.co/thehollywoodcomedy
Mic runs every hour on the hour from 3PM-12AM 
10 min.",10 min.,https://slotted.co/thehollywoodcomedy
65,(4PM-10PM Hourly) 10 Min Spots Bert's Back Room Lounge,Bert's Back Room Lounge,WeHo/Fairfax/Beverly Hills,2020-03-09,4:00 PM,2020-03-09,10:55 PM,False,Open Mic,$8,No,True,True,True,"

Upstairs, entrance through door in between Von Dutch and ikon 
Across the hall from original Bert's Back Room
Sign-up in advance at https://slotted.co/bertsbackroom
Mic runs every hour on the hour from 4PM-10PM (last 10 min. mic ends 10:55PM)
10 min.
Comic must be on time and stay for whole mic",10 min.,https://slotted.co/bertsbackroom
66,(4PM-7PM Hourly) The Comedy Office (Unit #3 Upstairs),The Comedy Office (Unit #3 Upstairs),WeHo/Fairfax/Beverly Hills,2020-03-09,4:00 PM,2020-03-09,8:00 PM,False,Open Mic,$3,No,True,True,True,"

Upstairs, down the hall to the left (the brick door).
Sign-up in advance at https://slotted.co/m4l
Mic runs every hour on the hour from 3PM-7PM (last mic ends 8PM)
5 min.
Must be on time
Must stay for whole hour",5 min.,https://slotted.co/m4l
70,The Clubhouse,The Clubhouse,Los Feliz/Silverlake/Echo Park,2020-03-09,4:00 PM,2020-03-09,6:00 PM,False,Open Mic,$0,No,True,True,True,"

Donations accepted
Next to Jons
Upstairs
Starts 4PM
Ends 6PM
Rolling lottery
4-5 min.
Hosted by Zach Fairless, Jacob Womack, and Luke Klompien",4 min.,
76,The Green Room,The Green Room,Orange County,2020-03-09,6:00 PM,2020-03-09,8:00 PM,False,Open Mic,$5,No,True,True,True,"

in Suite 204
includes drink
Sign-up in advance at https://slotted.co/gr
Starts 6PM
5 min.
First come, first served
Hosted by Elyse Joseph",5 min.,https://slotted.co/gr
78,Brix,"Brix
",Orange County,2020-03-09,6:00 PM,2020-03-09,9:00 PM,False,Open Mic,$0,No,True,True,True,"

Starts 6PM
Ends 9PM
First come, first served
4 min.
Mixed in with booked spots
Hosted by Jeremiah Jay White",4 min.,
80,Zed's Rooftop,Zed's Rooftop (Apt. #308),Culver City,2020-03-09,7:00 PM,2020-03-09,8:30 PM,False,Open Mic,$5,No,True,True,True,"

Sign-up in advance at https://slotted.co/rooftopmic
Starts 7PM
Ends 8:30PM
5 min
Comic must be on time and stay for whole mic
Hosted by Paddy and Nick Linsmayer",5 min.,https://slotted.co/rooftopmic
82,1881,1881,Pasadena,2020-03-09,7:00 PM,2020-03-09,10:00 PM,False,Open Mic,,1 drink,True,True,True,"

Starts 7PM
Ends 10PM
3-5 min.
Lottery",3 min.,
83,Atomic Wombat Comics,Atomic Wombat Comics,Orange County,2020-03-09,7:00 PM,2020-03-09,8:00 PM,False,Open Mic,$5,No,True,True,True,"

Sign-up in advance at https://slotted.co/comedygrabbag
Starts 7PM
5-7 min.
Must be on time and stay for the hour that you're signed up for",5 min.,https://slotted.co/comedygrabbag
86,Tribal Cafe,Tribal Cafe,Los Feliz/Silverlake/Echo Park,2020-03-09,7:00 PM,2020-03-09,10:00 PM,False,Open Mic,$5,No,True,True,True,"

$5 min. purchase
Sign-up 6:30PM
Starts 7PM
Ends 10PM
5 min.
First come, first served""",5 min.,
87,Leg Day (House in Silverlake),Leg Day (Apt. in Silverlake),Los Feliz/Silverlake/Echo Park,2020-03-09,7:00 PM,2020-03-09,9:00 PM,False,Open Mic,$3,No,True,True,True,"

Starts 7PM 
Sign-up in advance at https://slotted.co/legday 
stand up, characters, musical comedy all welcome 
Hosted by Richelle Meiss 
4 min.",4 min.,https://slotted.co/legday
88,Oeno Vino,Oeno Vino,Los Feliz/Silverlake/Echo Park,2020-03-09,7:00 PM,2020-03-09,9:00 PM,False,Open Mic,,1 item,True,True,True,"

Sign-up ahead of time online at www.openmicordinaire.com or sign up in person on day of. 
Starts 7PM 
Ends 9PM 
First come, first served 
4 min. 
Hosted by Newman Wolf 
Contact hosts@openmicordinaire.com for more details",4 min.,
91,Atomic Wombat Comics,Atomic Wombat Comics,Orange County,2020-03-09,8:00 PM,2020-03-09,9:00 PM,False,Open Mic,$5,No,True,True,True,"

Sign-up in advance at https://slotted.co/comedygrabbag
Starts 8PM
5-7 min.
Must be on time and stay for the hour that you're signed up for",5 min.,https://slotted.co/comedygrabbag
92,The Green Room,The Green Room,Orange County,2020-03-09,8:00 PM,2020-03-09,10:00 PM,False,Open Mic,$5,No,True,True,True,"

in Suite 204
includes drink
Sign-up in advance at https://slotted.co/gr
Starts 8PM
5 min.
First come, first served
Hosted by Elyse Joseph",5 min.,https://slotted.co/gr
93,Rasselbock,Rasselbock,Westside/Santa Monica,2020-03-09,8:00 PM,2020-03-09,10:00 PM,False,Open Mic,,1 item,True,True,True,"

Sign-up in advance at https://slotted.co/mair
Starts 8PM
Ends 10PM
5 min.
Hosted by Mike Spettel",5 min.,https://slotted.co/mair
95,Genghis Cohen,Genghis Cohen,WeHo/Fairfax/Beverly Hills,2020-03-09,8:00 PM,2020-03-09,10:00 PM,False,Open Mic,$0,No,True,True,True,"

Sign-up 8PM-8:15PM
Starts 8:15PM
Ends 10:30PM
Rolling lottery
3 min.
Booked spots mixed in
Hosted by Nina Tarr",3 min.,
99,(8PM-12AM Hourly) The Hollywood Comedy,The Hollywood Comedy,Hollywood/East Hollywood,2020-03-09,8:00 PM,2020-03-09,11:59 PM,False,Open Mic,$5,No,True,True,True,"

includes snacks & drinks
Sign-up in advance at https://slotted.co/thehollywoodcomedy
Mic runs every hour on the hour from 8PM-12AM 
5 min.
Hosted by Jiaoying Summers",5 min.,https://slotted.co/thehollywoodcomedy
102,Laugh Riot Grrrl @ Tao Comedy Studio,Tao Comedy Studio,Koreatown/Mid-City,2020-03-09,8:00 PM,2020-03-09,10:00 PM,False,Open Mic,$5,No,True,True,True,"

includes drink.
Women only
Sign-up 7:30PM
Starts 8PM
6 min.
First come, first served
Hosted by Bobbie Oliver",6 min.,
103,The Offbeat Bar,The Offbeat Bar,Highland Park/Glendale,2020-03-09,8:00 PM,2020-03-09,10:00 PM,False,Open Mic,$0,No,True,True,True,"

Sign-up 7:45PM
Starts 8PM
3-5 min.
First come, first served
Hosted by Heather Donaldson",3 min.,
105,Flappers Bar,Flappers Comedy Club,Burbank/NoHo/Valley,2020-03-09,8:30 PM,2020-03-09,10:30 PM,False,Open Mic,,1 item,True,True,True,"

Starts 8:30PM
Lottery
3 min.",3 min.,
107,The Good Nite,The Good Nite,Burbank/NoHo/Valley,2020-03-09,8:30 PM,2020-03-09,10:00 PM,False,Open Mic,,1 item,True,True,True,"

Sign-up 8PM
Starts 8:30PM
Ends 10PM
Lottery
3-5 min.
Hosted by Lindsay Adams and Joe Kaye",3 min.,
109,The Harp Inn Irish Pub,The Harp Inn Irish Pub,Orange County,2020-03-09,9:00 PM,2020-03-09,11:00 PM,False,Open Mic,$0,No,True,True,True,"

For storytelling
Sign-up 7:30PM
Starts 9PM
Have option to improvise set off of topics, tell a story, or do normal stand-up set
5-7 min.
Hosetd by Russell Ells and Kenan Kaya",5 min.,
112,Improv Jam @ Pack Theater,Pack Theater,Hollywood/East Hollywood,2020-03-09,9:00 PM,2020-03-09,11:00 PM,False,Improv Jam,$0,No,True,True,True,"

For improv only 
Starts 9PM
Ends 10PM
Focused on Two person improv 
Feat. The Tango
Anyone can play",,
113,The Pikey,The Pikey,Hollywood/East Hollywood,2020-03-09,9:00 PM,2020-03-09,11:00 PM,False,Open Mic,,1 item,True,True,True,"

Sign-up 8:45PM
Starts 9PM
5 min.
Lottery
Hosted by Alex Ansoleaga and Tony Klein",5 min.,
114,The Ark Theatre,The Ark Theatre,Burbank/NoHo/Valley,2020-03-09,9:00 PM,2020-03-09,11:00 PM,False,Open Mic,$5,No,True,True,True,"

Sign-up in advance at https://www.arknoho.org/store/10-x-10-minutes-10pm-x-10-comedians-my-laughers-comedy-club-open-mic-fridays9pm
Starts 9PM
5 min. 
Lottery
3 walk up spots available
Must be on time
Hosted by Steven Kimbrough",5 min.,https://www.arknoho.org/store/10-x-10-minutes-10pm-x-10-comedians-my-laughers-comedy-club-open-mic-fridays9pm
196,The Lexington,The Lexington,DTLA,2020-03-10,10:00 PM,2020-03-10,12:00 AM,False,Open Mic,,1 drink,True,True,True,"

Starts 10PM
Ends 12AM
Lottery
5 min.
Hosted by Kayla Esmond",5 min.,
198,Westside Comedy Theater,Westside Comedy Theater,Westside/Santa Monica,2020-03-10,10:00 PM,2020-03-10,11:59 PM,False,Open Mic,$1,No,True,True,True,"

In alley between 3rd St. Promenade and 4th St. 
Starts 10PM 
Lottery 
3-5 min.",3 min.,
199,Improv Jam @ The Clubhouse,The Clubhouse,Los Feliz/Silverlake/Echo Park,2020-03-10,10:30 PM,2020-03-10,11:30 PM,False,Improv Jam,$0,No,True,True,True,"

Next to Jons
For improv only
Starts 10:30PM approx at end of TNT Improv
Anyone can play",,
127,Improv Mic,The Hollywood Comedy,Hollywood/East Hollywood,2020-03-10,11:00 AM,2020-03-10,12:00 PM,False,Improvised stand-up mic,$5,No,True,True,True,"

includes snacks & drinks
Sign-up in advance at https://slotted.co/thehollywoodcomedy
Starts 11AM
Ends 12PM
Sets must be improvised, riffed, unprepared
5 min.
Hosted by Jiaoying Summers",5 min.,https://slotted.co/thehollywoodcomedy
129,(1PM-6PM Hourly) The Hollywood Comedy,The Hollywood Comedy,Hollywood/East Hollywood,2020-03-10,1:00 PM,2020-03-10,7:00 PM,False,Open Mic,$5,No,True,True,True,"

includes snacks & drinks
Sign-up in advance at https://slotted.co/thehollywoodcomedy
Mic runs every hour on the hour from 1PM-6PM (last mic ends at 7PM)
5 min.
Hosted by Jiaoying Summers",5 min.,https://slotted.co/thehollywoodcomedy
133,(3PM-6PM Hourly) Ellora Wellness,Ellora Wellness,Pasadena,2020-03-10,3:00 PM,2020-03-10,7:00 PM,False,Open Mic,$5,,True,True,True,"

Sign-up in advance at https://slotted.co/nmti3kg6
Mic runs every hour on the hour from 3PM-6PM (venue closes 7PM)
5 min.
Must be on time
Must stay for whole hour",5 min.,https://slotted.co/nmti3kg6
134,(3PM-4PM Hourly) 10 Mins. The Comedy Office (Unit #3 Upstairs),The Comedy Office (Unit #3 Upstairs),WeHo/Fairfax/Beverly Hills,2020-03-10,3:00 PM,2020-03-10,4:00 PM,False,Open Mic,$5,No,True,True,True,"

Upstairs, down the hall to the left (the brick door).
Sign-up in advance at https://slotted.co/m4l
Starts 3PM
Ends 4:45PM
10 min.
Must be on time",10 min.,https://slotted.co/m4l
136,(3PM-10PM Hourly) Bert's Back Room,Bert's Back Room,WeHo/Fairfax/Beverly Hills,2020-03-10,3:00 PM,2020-03-10,11:00 PM,False,Open Mic,$5,No,True,True,True,"

Upstairs, entrance through door in between Von Dutch and ikon 
Sign-up in advance at https://slotted.co/bertsbackroom
Mic runs every hour on the hour from 3PM-10PM (venue closes 11PM)
5 min.
Wait list for walk-ins and drop outs will be first come, first served
Hosted by Rachel Cuthbert",5 min.,https://slotted.co/bertsbackroom
137,(3PM-12AM Hourly) 10 Mins. The Hollywood Comedy,The Hollywood Comedy,Hollywood/East Hollywood,2020-03-10,3:00 PM,2020-03-10,11:59 PM,False,Open Mic,$8,No,True,True,True,"

in ""The Fancy Room"" (up front)
$8 (includes snacks & drinks)
Sign-up in advance at https://slotted.co/thehollywoodcomedy
Mic runs every hour on the hour from 3PM-12AM 
10 min.",10 min.,https://slotted.co/thehollywoodcomedy
138,(4PM-10PM Hourly) 10 Min Spots Bert's Back Room Lounge,Bert's Back Room Lounge,WeHo/Fairfax/Beverly Hills,2020-03-10,4:00 PM,2020-03-10,10:55 PM,False,Open Mic,$8,No,True,True,True,"

Upstairs, entrance through door in between Von Dutch and ikon 
Across the hall from original Bert's Back Room
Sign-up in advance at https://slotted.co/bertsbackroom
Mic runs every hour on the hour from 4PM-10PM (last 10 min. mic ends 10:55PM)
10 min.
Comic must be on time and stay for whole mic",10 min.,https://slotted.co/bertsbackroom
139,(4PM-7PM Hourly) The Comedy Office (Unit #3 Upstairs),The Comedy Office (Unit #3 Upstairs),WeHo/Fairfax/Beverly Hills,2020-03-10,4:00 PM,2020-03-10,8:00 PM,False,Open Mic,$3,No,True,True,True,"

Upstairs, down the hall to the left (the brick door).
Sign-up in advance at https://slotted.co/m4l
Mic runs every hour on the hour from 3PM-7PM (last mic ends 8PM)
5 min.
Must be on time
Must stay for whole hour",5 min.,https://slotted.co/m4l
145,Hollywood Improv Comedy Lab,Hollywood Improv Comedy Lab,WeHo/Fairfax/Beverly Hills,2020-03-10,5:45 PM,2020-03-10,7:45 PM,False,Open Mic,$0,No,True,True,True,"

Sign-up 5PM
Sign-up cut off at 75 names in bucket
Starts 5:45PM
3 min.
Lottery
Hosted by Nichole Davis",3 min.,
150,Kibitz Room @ Canter's Deli,Kibitz Room @ Canter's Deli,WeHo/Fairfax/Beverly Hills,2020-03-10,6:00 PM,2020-03-10,7:30 PM,False,Open Mic,$0,No,True,True,True,"

Sign-up 5:30PM
Starts 6PM
3 min., 5 min. w/purchase 
Ends 7:30PM
Lottery
Mixed in w/booked spots
Must work clean
Hosted by Burt Teplitzky, Bob Green, , and/or Michele Haines",3 min.,
154,Improv Mic,The Hollywood Comedy,Hollywood/East Hollywood,2020-03-10,7:00 PM,2020-03-10,8:00 PM,False,Improvised stand-up mic,$5,No,True,True,True,"

includes snacks and drinks
Sign-up in advance at https://slotted.co/thehollywoodcomedy
Starts 7PM
Ends 8PM
Sets must be improvised, riffed, unprepared
5 min.
Hosted by Jiaoying Summers",5 min.,https://slotted.co/thehollywoodcomedy
156,Tribal Cafe,Tribal Cafe,Los Feliz/Silverlake/Echo Park,2020-03-10,7:00 PM,2020-03-10,10:00 PM,False,Open Mic,$5,No,True,True,True,"

$5 min. purchase
Sign-up 6:30PM
Starts 7PM
Ends 10PM
5 min.
First come, first served""",5 min.,
157,DTLA Cheese,DTLA Cheese,DTLA,2020-03-10,7:00 PM,2020-03-10,9:00 PM,False,Open Mic,$0,No,True,True,True,"

(inside Grand Central Market)
Sign-up 6:30PM
Starts 7PM
First come, first served
3 min.
Free cheese provided by DTLA Cheese
Hosted by Jeff Buck",3 min.,
158,Brews Brothers,Brews Brothers,Burbank/NoHo/Valley,2020-03-10,7:00 PM,2020-03-10,10:00 PM,False,Open Mic,$0,No,True,True,True,"

Sign-up 6:30PM
Starts 7PM
Ends 10PM
First come, first served
5 min.
Mixed in w/booked spots
Hosted by Chris Wallace
Discount drinks tickets for comics",5 min.,
159,New York Bagel Cafe,New York Bagel Cafe,Burbank/NoHo/Valley,2020-03-10,7:00 PM,2020-03-10,8:30 PM,False,Open Mic,$5,No,True,True,True,"

$5 min. purchase
Sign-up 6PM-7PM (no late sign-up)
Starts 7PM
Ends 8:30PM
First come, first served",,
161,LTE VIsions,LTE Visions,DTLA,2020-03-10,7:00 PM,2020-03-10,11:00 PM,False,Open Mic,$5,No,True,True,True,"

in basement in unit #110
Dial the Callbox, > LTE Visions<  to be buzzed in.
Sign-up 6:30PM
Starts 7PM
Ends 11PM
5 min. 
First come, first served
Hosted by Dion Lack",5 min.,
162,UCB Sunset Inner Sanctum,UCB Sunset Inner Sanctum,Hollywood/East Hollywood,2020-03-10,7:00 PM,2020-03-10,8:30 PM,False,Open Mic,$0,No,True,True,True,"

Sign-up before 7PM
Starts 7PM
Lottery 
4 min. 
15 spots only 
Hosted by Amy Silverberg, Whitney Ralls, Maddie Connors",4 min.,
163,Atomic Wombat Comics,Atomic Wombat Comics,Orange County,2020-03-10,7:00 PM,2020-03-10,8:00 PM,False,Open Mic,$5,No,True,True,True,"

Sign-up in advance at https://slotted.co/comedygrabbag
Starts 7PM
5-7 min.
Must be on time and stay for the hour that you're signed up for",5 min.,https://slotted.co/comedygrabbag
164,Onyx Lounge,Onyx Lounge,DTLA,2020-03-10,7:00 PM,2020-03-10,9:00 PM,False,Open Mic,,1 drink,True,True,True,"

Starts 7PM
Ends 9PM
First come, first served
5 min.
Hosted by Breeze Arnold, Cat Crow, Cat Wright, Alyssa Poteet, Bri Giger, or Kayla Edmond",5 min.,
165,The Mexican Village,The Mexican Village,Hollywood/East Hollywood,2020-03-10,7:15 PM,2020-03-10,9:15 PM,False,Open Mic,,1 item,True,True,True,"

Sign-up 6:45PM
Starts 7:15PM
Lottery
5 min.
Hosted by Peter Skobel and Rick Carrera",5 min.,
152,The Friend Bar,The Friend Bar,Los Feliz/Silverlake/Echo Park,2020-03-10,7:30 PM,2020-03-10,9:30 PM,False,Open Mic,,1 item,True,True,True,"

Starts 7:30PM
Ends 9:30PM
Rolling lottery
4 min.
Mixed in w/booked spots
Hosted by Erin Alexis and Catherine McCafferty",4 min.,
166,The Moth ,Club Los Globos,Los Feliz/Silverlake/Echo Park,2020-03-10,7:30 PM,2020-03-10,9:30 PM,False,Storytelling Mic,$15,No,True,True,True,"

Storytelling only 
Doors open 7PM 
Starts 7:30PM sharp 
5 min. 
10 spots only 
Lottery 
On theme of ""Celebration"" only 
Counts as entry into Moth Storyslam",5 min.,
169,Storytelling Mic ,The Lexington,DTLA,2020-03-10,8:00 PM,2020-03-10,10:00 PM,False,Storytelling Mic,,1 drink,True,True,True,"

For storytelling only
Starts 8PM
Ends 10PM
Lottery
6 min.
Hosted by Scott Schultz",6 min.,
170,Atomic Wombat Comics,Atomic Wombat Comics,Orange County,2020-03-10,8:00 PM,2020-03-10,9:00 PM,False,Open Mic,$5,No,True,True,True,"

Sign-up in advance at https://slotted.co/comedygrabbag
Starts 8PM
5-7 min.
Must be on time and stay for the hour that you're signed up for",5 min.,https://slotted.co/comedygrabbag
171,Bar Franca,Bar Franca,DTLA,2020-03-10,8:00 PM,2020-03-10,11:00 PM,False,Open Mic,,1 drink,True,True,True,"

Starts 8PM
Ends 11PM
5 min.
Lottery
Hosted by Sarah Bugden",5 min.,
172,Q's Billiards Club,Q's Billiards Club,Westside/Santa Monica,2020-03-10,8:00 PM,2020-03-10,9:30 PM,False,Open Mic,,1 item,True,True,True,"

Sign-up at 7:45PM
Starts 8PM
Ends 9:30PM
5 min.
Lottery
late walk-in spots will be first come, first served
Hosted by Rachel Abrahams & Julia Stone  
",5 min.,
173,LGBT+ on the MIC @ Tao Comedy Studio,Tao Comedy Studio,Koreatown/Mid-City,2020-03-10,8:00 PM,2020-03-10,10:00 PM,False,Open Mic,$5,No,True,True,True,"

includes drink
Mic for LGBT+ performers
Sign-up 7:30PM
Starts 8PM
5 min.
First come, first served
Hosted by Kate R. Canter",5 min.,
177,(8PM-12AM Hourly) The Hollywood Comedy,The Hollywood Comedy,Hollywood/East Hollywood,2020-03-10,8:00 PM,2020-03-10,11:59 PM,False,Open Mic,$5,No,True,True,True,"

includes snacks & drinks
Sign-up in advance at https://slotted.co/thehollywoodcomedy
Mic runs every hour on the hour from 8PM-12AM 
5 min.
Hosted by Jiaoying Summers",5 min.,https://slotted.co/thehollywoodcomedy
180,LA School of Comedy,LA School of Comedy,Westside/Santa Monica,2020-03-10,8:00 PM,2020-03-10,9:00 PM,False,Open Mic,$10,No,True,True,True,"

Sign-up in advance at https://slotted.co/g9e9ngke
Starts 8PM
Ends 9PM
10 min.
Must be on time
Must stay for whole mic
Hosted by Sally Mullins",10 min.,https://slotted.co/g9e9ngke
184,The Other Door,The Other Door,Burbank/NoHo/Valley,2020-03-10,8:00 PM,2020-03-10,10:00 PM,False,Open Mic,$0,No,True,True,True,"

To get a booked spot, email killermicotherdoor@gmail.com by Monday at 5 PM. 20 names will be chosen at random. 
Sign-up for 20 lottery spots starts at 8 at the show. 
Go to https://www.facebook.com/KillerMicNoHo/ for more details
Hosted by Kevin Anderson and Joe Kaye",5 min.,https://www.facebook.com/KillerMicNoHo/
186,American Legion Alhambra,American Legion Alhambra,San Gabriel Valley,2020-03-10,8:00 PM,2020-03-10,10:30 PM,False,Open Mic,$0,1 drink,True,True,True,"

Starts 8PM
Ends 10:30PM
5 min.
Best set of the night wins $10
All proceeds benefit the American Legion. Support our Veterans :)",5 min.,
187,Flappers Bar,Flappers Comedy Club,Burbank/NoHo/Valley,2020-03-10,8:30 PM,2020-03-10,10:30 PM,False,Open Mic,,1 item,True,True,True,"

Starts 8:30PM
Lottery
3 min.",3 min.,
190,Skiptown Playhouse,Skiptown Playhouse,Hollywood/East Hollywood,2020-03-10,9:00 PM,2020-03-10,11:00 PM,False,Open Mic,$5,No,True,True,True,"

Starts 9PM
Lottery
4 min.
Hosted by Steve Hernandez and Jonathan Cerda-Rowell",4 min.,
194,The Harp Inn Irish Pub,The Harp Inn Irish Pub,Orange County,2020-03-10,9:30 PM,2020-03-10,11:30 PM,False,Open Mic,$0,No,True,True,True,"

Sign-up 8PM
Starts 9PM after booked show
Hosted by Ted Twyman",,
269,Close The Gap Mic,Yard Theater,Hollywood/East Hollywood,2020-03-11,10:00 PM,2020-03-11,11:30 PM,False,Open Mic,"Free for women/non-binary, $5 for men",No,True,True,True,"

Starts 10PM
First come, first served
5 min.
Hosted by Yesenia Rego",5 min.,
271,Berkshire House,Berkshire House,WeHo/Fairfax/Beverly Hills,2020-03-11,10:00 PM,2020-03-11,11:59 PM,False,Open Mic,,1 item,True,True,True,"

Starts 10PM
Ends 12AM
Lottery
4 min.
Hosted by Nate Fisher",4 min.,
